Office Location,Clinic Address,Number of Doctors,Specialties Offered,Clinic Phone Number,Clinic Rating,Operating Hours,Doctors IDs
New York,Sample Address,3,"Pediatrics, Orthopedics, Gynecology",(555) 998-4165,4.1,9:00 AM - 5:00 PM,"NYDD001, NYDD002, NYDD003"
Los Angeles,Sample Address,3,"Gastroenterology, Ophthalmology, Dermatology",(555) 786-6415,4.6,9:00 AM - 5:00 PM,"LADD001, LADD002, LADD003"
Chicago,Sample Address,3,"Gynecology, Pediatrics, Radiology",(555) 122-5098,4.4,9:00 AM - 5:00 PM,"CHDD001, CHDD002, CHDD003"
Houston,Sample Address,3,"Pediatrics, Urology, Radiology",(555) 389-3810,3.2,9:00 AM - 5:00 PM,"HUDD001, HUDD002, HUDD003"
San Francisco,Sample Address,3,"Endocrinology, Urology, Psychiatry",(555) 196-7819,4.0,9:00 AM - 5:00 PM,"SFDD001, SFDD002, SFDD003"
Miami,Sample Address,3,"Psychiatry, Gastroenterology, Neurology",(555) 173-5721,3.0,9:00 AM - 5:00 PM,"MIDD001, MIDD002, MIDD003"
Boston,Sample Address,3,"Neurology, Psychiatry, Dermatology",(555) 660-5870,3.7,9:00 AM - 5:00 PM,"BODD001, BODD002, BODD003"
Atlanta,Sample Address,3,"Radiology, Gastroenterology, Psychiatry",(555) 547-7741,3.4,9:00 AM - 5:00 PM,"ATDD001, ATDD002, ATDD003"
Dallas,Sample Address,3,"Gastroenterology, Dermatology, Psychiatry",(555) 119-4419,3.9,9:00 AM - 5:00 PM,"DADD001, DADD002, DADD003"
Denver,Sample Address,3,"Ophthalmology, Endocrinology, Psychiatry",(555) 138-3346,3.7,9:00 AM - 5:00 PM,"DEDD001, DEDD002, DEDD003"
Seattle,Sample Address,3,"Urology, Gynecology, Ophthalmology",(555) 510-8448,4.3,9:00 AM - 5:00 PM,"SEDD001, SEDD002, SEDD003"
Phoenix,Sample Address,3,"Radiology, Cardiology, Gynecology",(555) 722-7548,4.7,9:00 AM - 5:00 PM,"PHDD001, PHDD002, PHDD003"
Detroit,Sample Address,3,"Orthopedics, Ophthalmology, Radiology",(555) 592-1890,3.5,9:00 AM - 5:00 PM,"DTDD001, DTDD002, DTDD003"
Philadelphia,Sample Address,3,"Endocrinology, Gastroenterology, Ophthalmology",(555) 524-5041,4.2,9:00 AM - 5:00 PM,"PLDD001, PLDD002, PLDD003"
San Diego,Sample Address,3,"Cardiology, Psychiatry, Dermatology",(555) 116-2613,4.2,9:00 AM - 5:00 PM,"SDDD001, SDDD002, SDDD003"
